さようなら,"adieu, farewell, bye, goodbye;goodbye, farewell;in goodbye, as a farewell, in parting;to say farewell, say goodbye, take leave from, log out, sign off;farewell, goodbye, logout",再见！（在长期离别前向人告别的话）
アンコール!,"encore, one more time, again;to demand an encore, play an encore;(interjection) encore",
万歳!(歓呼),"to cheer, exult, rejoice;cheer",
ワァ!(叫び声),,
どのような,,
"そんな,あんな",,
すべての,,
だれの(所有),"of which, which one’s, whose",谁的
どんな~も~ない,,
他の,"other, another (one), different, else;differently, else, otherwise, in another way, (or) else;Ali;something else",另外的
高い,"high, lofty, tall, alto;highly;to lift, raise, make high;altitude, height",高
美しい,"beautiful, fine, handsome, lovely, good-looking, pretty;beautifully;to be beautiful;beauty; bel (unit of intensity);Bell",美丽，漂亮；美好
良い,"good, nice, okay, kind, nice;well, ok, alright, fine;to be good, be okay, be nice;good",好
若い,"young, youthful, juvenile;Juno",年轻
新しい,"new, novel, recent;newly",新
同一の,"same, ditto;equally, likewise;to be the same;same",同样的，相同的
強い,"strong, pronounced;strongly, earnestly;to outrage;force, strength, vigor, power",强有力；坚强
重要な,"important, serious, grave, notable, important;seriously, importantly;to be serious, be important;engraving",重要；严重
幾つかの,"a little, some;some",一些；[~aj]几个（人），不很多
最後の,"hindermost, last, ultimate;at the last, ultimately",最后；最近
長い,"long;a long time, for a long time, long;length, longitude",长
多くの,"a lot of, much, numerous;a lot, many, much;multi-;a lot, many; mass, large quantity",大量；许多
いっぱいの,"complete, full, integral, plenary, thorough, whole;completely, fully;to fill",满，完全
金持ちの,"affluent, rich, wealthy, well-off, well-to-do;richly;richness, rich thing",富裕，丰富
赤い,"red, ruddy, rosy, blushing;red",红色
容易な,"easy, facile;easily;facility",容易，轻微，轻快，轻松
大きい,"big, great, large, tall;large(ly), in a large way;dimension, size, magnitude",大，伟大
自由な,"exempt, free, unrestrained, spare, unchecked;freely;freedom, liberty",自由
速い,"brisk, quick, rapid, speedy, swift, hasty, prompt, fast, high-speed;apace, expeditiously, fast, quickly, swiftly, in a rush, rapidly;to go fast, hurry, rush;rate (speed), speed, velocity",快
幸福な,"fortunate, happy, lucky;fortunately, happily, luckily;to be happy;happiness",幸福，幸运
近い,"close, near, nearby, next, proximate;close, near, nearby;proximity",近
早い,"early;early, shortly, soon;to be early, be fast",早的，早期的
純粋な,"clean, pure, neat, unadulterated;purely",纯；干净
唯一の,"alone, only, sole, solitary, single;alone, just, only, solely;base, pedestal, plinth;Seoul;solo (musical)",独自的；唯一的
本当の,"genuine, intrinsic, true, veritable, authentic;absolutely, genuinely, indeed, really, truly;to be true;reality, truth",真，实在
確かな,"certain, sure, unerring;certainly, surely;to be certain",有把握的；确实的
黒い,black;blackly;black,黑色；黑暗，深色
暑い,"warm, hot;warmly;warmth",热，暖和
愛想のよい,"amiable, nice, affable, friendly, good-natured, kind, user-friendly;kindly, affably",和气的，和蔼的
白い,"blank, white;whitely;white",白色，空白
甘い,"gentle, soft, sweet, tender, mild;gently",甜，甜美；温柔
必要な,"necessary, needful, requisite;necessary;to be needed; to use the toilet;necessary (thing)",必需；必然
固有の,"own, personal, proper, custom;personally",特有的；自己的
簡単な,"simple, straightforward, unaffected, unvarnished, plain, unpretending;simply, plainly",单一；简单
右の,"right, right-hand;on the right;starboard",右，右边
勇気ある,"audacious, bold, brave, courageous, valiant, daring, fearless, intrepid;courageously;to be bold enough (to), dare, have courage, venture to;audacity, boldness, bravery, courage, mettle, fortitude, valor, spirit",勇敢
平静な,"calm, tranquil, serene, still, quiet, peaceful;peacefully, tranquilly, calmly;tranquility, calmness, peacefulness",安宁；平静
青い,blue;blue,蓝色
太い,"thick, corpulent, fat, stout, plump, bold (font);thickly;thickness",厚，粗，胖
陽気な,"cheerful, gay, merry, happy;cheerfully, happily, gaily;to be gay;Caius, Gaius",愉快，喜形于外
明るい,"bright, brilliant, clear, light, vivid;brightly, clearly;brightness, brilliance",明亮，晴朗；浅，淡
親愛な,"beloved, cherished, dear, expensive, valuable, precious, costly, high-priced",亲爱的，珍贵，昂贵
疲れた,"tired, weary, fatigued;wearily",疲劳，累；厌倦
健康な[造語法],"healthy, well;healthily;to be well;health;samideano",健康；未变质
満腹した,"full, replete, satisfied;the faithful wife of Shiva;to be full, have enough, sate;glut, satiety;Sennacieca Asocio Tutmonda",饱，满足
正義の,"fair, just, righteous, equitable;fairly, justly, rightly;equity, justice, righteousness",公正，公平，正直
正当な,"correct, right, just, justified, true;correctly, rightly;to be right",正确，正当
用意の整った,"finished, ready, through, prepared;to be ready",准备好的
有用な,"advantageous, useful;usefully;to avail, be of use;advantage, benefit, usefulness, usage",有益，有利，有用
緑の,green;greenly;to be green;green,绿色，绿
別々の,"aloof, apart, distinct, distinctive, own, particular, separate, special;apart, separately, aside, asunder, particularly",单独的，个别的，分开的；特别的
注意深い,"attentive, heedful, wary;attentively;to pay attention (to), watch out for, heed, mind;advertency, attention, application",注意的，留心的
他国の,"alien, foreign, strange;strangely, in a foreign way",外国的；陌生
正しい,"correct, exact, proper, right;correctly, just, exactly, okay, right, precisely;to be right, be correct, be proper",正确；恰当
共通の,"common, joint, shared, generic;jointly, mutually",公共，共同
幅の広い,"wide, broad;widely;width",宽，宽阔
快い,"agreeable, enjoyable, lovely, nice, pleasant;agreeably, comfortably, pleasantly;amenity",令人愉快的
様々な,"different, diverse, varied, various, sundry, miscellaneous;severally;to vary",各种各样的
内部の,"back-end, internal, domestic, inner, inside;in, inside, internally, within;inside, interior",内部，内在
十分な,"adequate, ample, enough, sufficient;enough, quite, rather, sufficiently;to suffice, be enough;enough (of something)",足够，充分
満足な,"content, contented, gratified, happy, pleased, satisfied, happy;to be content;contentment, satisfaction",满意，满足
深い,"deep, profound;deeply, profoundly;depth",深，深刻，深远，深沉
柔らかい,"gentle, soft, tender, minor (music);gently, softly, tenderly;minor (music)",软
重い,"burdensome, heavy, onerous, weighty;heavily, with weight;to be heavy, weigh;significance, weight",重
乾いた,"arid, dry;dryly",干；无味，无作料的
褐色の,brown;brown;Bruno,褐色，棕色
等しい,"equal, even, level;alike, all the same, equally;to equal",平等，相等
黄色の,yellow;yellow,黄颜色
灰色の,gray;grey,灰色，花白
罪のある,"culpable, guilty, to blame;to be guilty;fault, offense, guilt, failing",有罪的，犯罪的
器用な,"able, adroit, clever, dexterous, skillful, expert, talented, handy;cleverly",灵巧，熟练，敏捷；机灵；精巧
まっすぐな,"direct, straight, right, upright, erect, live (broadcast);directly, straight ahead, uprightly;straight line",直，直达，直接
賢明な,"sagacious, sage, wise, sensible;with wisdom, wisely;wisdom",聪明，明智，有理智的
広い,"extensive, spacious, vast, wide, immense, roomy, widespread;widely;vastness, expanse",广大，宽广，（衣服）肥大
残りの,"additional, remaining, rest of;as for the rest, besides, for the rest, moreover, what’s more, otherwise, aside from that, I might add;remainder",其余，其他
新鮮な,"fresh, new, recent, raw;freshly",新鲜，鲜嫩，新近
よく似た,"alike, similar, like;likewise, similarly, by the same token;to be similar, resemble",相似，像那样的
有能な,"able, capable, apt, qualified;ably, aptly;to be able, be able to;ability, capability, capacity, competence, competency, faculty, skill",有能力的，能够…的
まじめな,"earnest, serious, staid, sober;seriously",严肃，认真；重要
現実の,"actual, real, effective, effectual, true;absolutely, actually, in fact, effectively, really, as a matter of fact",实际，确实；正式
普通の,"common, ordinary, usual;commonly, usually",平常，普通
鋭い,"abrasive, acrimonious, acute, lurid, sharp, keen, poignant;sharply, abrasively;acre",锋利，尖锐
名高い,"famous, celebrated, illustrious, notable;famously;to be famous;fame, hearsay, renown, repute, rumor, reputation",有名，著名
